,id,n_groups,n_friends,n_bots,last_seen
0,115856486.0,0.0,158.0,2.0,0.0
1,555382033.0,0.0,381.0,49.0,7721.0
2,137495980.0,0.0,1120.0,130.0,2.0
3,52261574.0,0.0,521.0,88.0,144606.0
4,204646170.0,0.0,3321.0,340.0,4826.0
5,415132327.0,0.0,271.0,30.0,231999.0
6,21606840.0,0.0,262.0,24.0,45.0
7,362094251.0,0.0,1488.0,74.0,1865.0
8,94346303.0,0.0,878.0,129.0,1735793.0
9,182198046.0,0.0,2214.0,274.0,212.0
10,97348456.0,0.0,5.0,3.0,4811480.0
11,121134029.0,0.0,384.0,85.0,7496.0
12,102263001.0,0.0,312.0,62.0,2382332.0
13,75036569.0,0.0,0.0,0.0,30635.0
14,90873364.0,0.0,179.0,39.0,2397934.0
15,273980388.0,0.0,652.0,14.0,1.0
16,38976801.0,0.0,350.0,12.0,182.0
17,137462144.0,0.0,536.0,166.0,3775039.0
18,159709724.0,0.0,26.0,9.0,4701757.0
19,89274866.0,0.0,137.0,29.0,2391368.0
20,2015959.0,0.0,643.0,89.0,1663.0
21,4077749.0,0.0,934.0,35.0,400.0
22,409601580.0,0.0,2377.0,246.0,418.0
23,575443413.0,0.0,2350.0,65.0,3177.0
24,25945231.0,0.0,212.0,60.0,2232201.0
25,347712377.0,0.0,251.0,43.0,315491.0
26,335709639.0,0.0,3022.0,184.0,3166.0
27,601569307.0,0.0,4261.0,52.0,8.0
28,106810155.0,0.0,244.0,53.0,7224.0
29,181158036.0,0.0,73.0,19.0,4642781.0
30,263570822.0,0.0,471.0,87.0,1803527.0
31,96345115.0,0.0,244.0,28.0,994520.0
32,450101478.0,0.0,994.0,47.0,221.0
33,114754457.0,0.0,167.0,51.0,3871431.0
34,361501906.0,0.0,1872.0,176.0,114550.0
35,224033725.0,0.0,0.0,0.0,0.0
36,182107824.0,0.0,137.0,14.0,2142.0
37,529217960.0,0.0,3114.0,168.0,11.0
38,232321522.0,0.0,209.0,35.0,3098150.0
39,1287517.0,0.0,1249.0,63.0,161.0
40,143256450.0,0.0,163.0,19.0,20625.0
41,465569553.0,0.0,0.0,0.0,11.0
42,139465266.0,0.0,135.0,37.0,4330404.0
43,250216707.0,0.0,312.0,67.0,46286.0
44,166274013.0,0.0,208.0,45.0,635206.0
45,34206348.0,0.0,354.0,40.0,1816269.0
46,202666619.0,0.0,63.0,7.0,2244374.0
47,73148844.0,0.0,278.0,66.0,1046969.0
48,578224595.0,0.0,423.0,24.0,11461.0
49,95208914.0,0.0,319.0,47.0,1618789.0
50,582599096.0,0.0,711.0,42.0,0.0
51,5681952.0,0.0,427.0,13.0,17.0
52,3506712.0,0.0,0.0,0.0,118.0
53,135067925.0,0.0,162.0,45.0,501136.0
54,289532070.0,0.0,32.0,5.0,3606430.0
55,448247261.0,0.0,3643.0,168.0,638.0
56,16411138.0,0.0,818.0,46.0,106.0
57,5344200.0,0.0,0.0,0.0,2019.0
58,112011346.0,0.0,0.0,0.0,52291.0
59,415587112.0,0.0,153.0,14.0,1613.0
60,59494903.0,0.0,473.0,60.0,211.0
61,261973615.0,0.0,387.0,68.0,660562.0
62,549288.0,0.0,1120.0,151.0,269.0
63,319021006.0,0.0,2065.0,202.0,201.0
64,82433715.0,0.0,1442.0,247.0,2609775.0
65,6136532.0,0.0,594.0,55.0,2859.0
66,142648353.0,0.0,0.0,0.0,0.0
67,572412816.0,0.0,0.0,0.0,945.0
68,73561905.0,0.0,43.0,22.0,4762611.0
69,1884123.0,0.0,4194.0,314.0,256.0
70,121679411.0,0.0,100.0,16.0,4187489.0
71,5255026.0,0.0,0.0,0.0,152.0
72,135497089.0,0.0,153.0,43.0,691528.0
73,21379004.0,0.0,299.0,47.0,87496.0
74,43010799.0,0.0,394.0,84.0,2404069.0
75,189123782.0,0.0,275.0,24.0,1495342.0
76,103770640.0,0.0,41.0,19.0,5279706.0
77,152261132.0,0.0,442.0,80.0,1117458.0
78,582744981.0,0.0,656.0,26.0,379276.0
79,486582809.0,0.0,544.0,54.0,35.0
80,592968.0,0.0,394.0,25.0,1993.0
81,5345500.0,0.0,190.0,19.0,98.0
82,132123172.0,0.0,301.0,48.0,1369558.0
83,89340973.0,0.0,223.0,41.0,1942656.0
84,31843100.0,0.0,519.0,73.0,1607.0
85,160980691.0,0.0,196.0,46.0,1480278.0
86,96945414.0,0.0,2030.0,608.0,2484555.0
87,256723719.0,0.0,0.0,0.0,89.0
88,557735674.0,0.0,0.0,0.0,2149.0
89,325354599.0,0.0,1023.0,35.0,0.0
90,26922525.0,0.0,2245.0,339.0,41.0
91,1123378.0,0.0,1085.0,130.0,425024.0
92,153183895.0,0.0,207.0,25.0,2129466.0
93,140249771.0,0.0,388.0,79.0,2392272.0
94,452858101.0,0.0,0.0,0.0,230.0
95,536394224.0,0.0,617.0,51.0,325.0
96,32480941.0,0.0,127.0,17.0,9284.0
97,248469974.0,0.0,318.0,47.0,417910.0
98,106456800.0,0.0,751.0,92.0,1797339.0
99,128110207.0,0.0,448.0,91.0,11661.0
100,136710198.0,0.0,369.0,111.0,3444661.0
