,id,n_groups,n_friends,n_bots,last_seen
0,356133721.0,2.0,1878.0,483.0,0.0
1,440438259.0,0.0,0.0,0.0,0.0
2,132143831.0,0.0,0.0,0.0,132.0
3,344716538.0,0.0,0.0,0.0,0.0
4,524501100.0,0.0,0.0,0.0,0.0
5,299536741.0,2.0,5000.0,930.0,194.0
6,423272912.0,2.0,403.0,41.0,94.0
7,570570234.0,0.0,0.0,0.0,0.0
8,436034691.0,0.0,0.0,0.0,0.0
9,92882.0,0.0,0.0,0.0,0.0
10,180111423.0,2.0,299.0,32.0,1111.0
11,302579887.0,2.0,5000.0,932.0,287750.0
12,348194647.0,2.0,5000.0,379.0,0.0
13,595957966.0,0.0,0.0,0.0,381616.0
14,332326977.0,0.0,0.0,0.0,0.0
15,344420866.0,2.0,5000.0,1441.0,577.0
16,365856572.0,0.0,0.0,0.0,4.0
17,405078319.0,0.0,0.0,0.0,0.0
18,455057383.0,2.0,4803.0,1225.0,540688.0
19,534546985.0,2.0,7.0,3.0,1397591.0
20,356766894.0,0.0,0.0,0.0,0.0
21,264797593.0,0.0,0.0,0.0,0.0
22,360280744.0,2.0,104.0,1.0,114.0
23,236358460.0,2.0,5000.0,1328.0,461.0
24,327461124.0,2.0,2361.0,628.0,92.0
25,496154688.0,2.0,313.0,58.0,2070.0
26,384854870.0,2.0,5000.0,1268.0,21.0
27,421723130.0,2.0,5000.0,882.0,1.0
28,470600413.0,0.0,0.0,0.0,0.0
29,250634049.0,0.0,0.0,0.0,14.0
30,498685591.0,0.0,0.0,0.0,40133.0
31,572609121.0,2.0,2.0,0.0,636016.0
32,262508487.0,2.0,5000.0,7.0,0.0
33,340572689.0,0.0,0.0,0.0,0.0
34,443787855.0,2.0,150.0,18.0,32.0
35,417349050.0,0.0,0.0,0.0,0.0
36,488897699.0,0.0,0.0,0.0,0.0
37,380295226.0,2.0,307.0,28.0,91.0
38,632826910.0,0.0,0.0,0.0,0.0
39,650064554.0,0.0,0.0,0.0,0.0
40,548984706.0,2.0,979.0,158.0,292524.0
41,429740439.0,2.0,201.0,43.0,97113.0
42,653088203.0,2.0,2594.0,308.0,0.0
43,184496.0,0.0,0.0,0.0,0.0
44,115734036.0,2.0,5000.0,1058.0,262.0
45,52088461.0,2.0,1509.0,18.0,504.0
46,415463211.0,0.0,0.0,0.0,0.0
47,490646937.0,0.0,0.0,0.0,0.0
48,423454279.0,0.0,0.0,0.0,0.0
49,467049249.0,2.0,5000.0,159.0,2448.0
50,490934749.0,2.0,5000.0,1196.0,2412.0
51,396141574.0,0.0,0.0,0.0,0.0
52,517634201.0,2.0,5000.0,211.0,46983.0
53,366890707.0,2.0,250.0,76.0,904.0
54,633799504.0,0.0,0.0,0.0,0.0
55,375862905.0,2.0,400.0,95.0,1993920.0
56,434473500.0,2.0,5000.0,1064.0,0.0
57,382028998.0,2.0,1908.0,545.0,2212623.0
58,367226857.0,0.0,0.0,0.0,0.0
59,462058485.0,2.0,5000.0,575.0,944184.0
60,176252478.0,0.0,0.0,0.0,0.0
61,118652957.0,2.0,591.0,126.0,41489.0
62,351004813.0,2.0,2371.0,2.0,489.0
63,547095954.0,0.0,0.0,0.0,0.0
64,372479815.0,2.0,2.0,0.0,2764008.0
65,361866812.0,2.0,5000.0,1505.0,1099355.0
66,612140532.0,0.0,0.0,0.0,1533.0
67,276781739.0,2.0,4654.0,1076.0,479.0
68,62424914.0,0.0,0.0,0.0,531.0
69,463664169.0,2.0,3036.0,127.0,2.0
70,210494395.0,0.0,0.0,0.0,398.0
71,401791610.0,2.0,231.0,6.0,5.0
72,627456455.0,2.0,5000.0,1785.0,385093.0
73,277251302.0,0.0,0.0,0.0,368322.0
74,520140360.0,0.0,0.0,0.0,0.0
75,218923783.0,2.0,5000.0,208.0,637.0
76,389852562.0,2.0,15.0,9.0,658508.0
77,397050255.0,0.0,0.0,0.0,0.0
78,585112903.0,0.0,0.0,0.0,0.0
79,277787974.0,2.0,4663.0,604.0,248.0
80,215683826.0,0.0,0.0,0.0,0.0
81,310785536.0,0.0,0.0,0.0,641.0
82,352807499.0,2.0,90.0,30.0,2686810.0
83,331312284.0,0.0,0.0,0.0,0.0
84,267904786.0,2.0,67.0,2.0,557.0
85,377706680.0,2.0,252.0,92.0,2572920.0
86,415046253.0,0.0,0.0,0.0,1047.0
87,447622832.0,2.0,3987.0,500.0,0.0
88,434257740.0,0.0,0.0,0.0,0.0
89,241922285.0,2.0,49.0,0.0,27.0
90,356843546.0,0.0,0.0,0.0,424.0
91,94624362.0,2.0,843.0,0.0,631.0
92,636053275.0,2.0,5000.0,606.0,172109.0
93,302824601.0,2.0,238.0,18.0,1293.0
94,371320336.0,2.0,5000.0,427.0,2.0
95,287368860.0,0.0,0.0,0.0,62687.0
96,221652588.0,2.0,252.0,14.0,444.0
97,408679639.0,0.0,0.0,0.0,1049121.0
98,287418862.0,2.0,5000.0,1243.0,573.0
99,337145215.0,2.0,202.0,2.0,3.0
100,226934972.0,2.0,2556.0,505.0,473.0
