,id,n_groups,n_friends,n_bots,last_seen
0,551172901.0,2.0,31.0,4.0,0.0
1,46100346.0,2.0,2397.0,174.0,4612.0
2,232079674.0,2.0,4939.0,627.0,550.0
3,297704020.0,2.0,36.0,1.0,19139.0
4,304371593.0,2.0,277.0,28.0,30.0
5,307182445.0,2.0,181.0,23.0,762927.0
6,311656036.0,2.0,158.0,8.0,125.0
7,360743384.0,0.0,0.0,0.0,4701.0
8,381350412.0,0.0,0.0,0.0,611.0
9,404092678.0,2.0,1033.0,106.0,229.0
10,421778982.0,2.0,87.0,18.0,825648.0
11,448403108.0,0.0,0.0,0.0,65.0
12,456401163.0,0.0,0.0,0.0,12380.0
13,462713048.0,2.0,133.0,32.0,318.0
14,462886173.0,2.0,17.0,0.0,388.0
15,482248316.0,0.0,0.0,0.0,242.0
16,483626422.0,2.0,60.0,0.0,295.0
17,507343973.0,2.0,5000.0,217.0,323.0
18,509911405.0,2.0,201.0,15.0,188.0
19,512540581.0,2.0,60.0,13.0,545698.0
20,518265342.0,0.0,0.0,0.0,244.0
21,518360482.0,2.0,38.0,7.0,697977.0
22,520563901.0,0.0,0.0,0.0,387.0
23,522386278.0,0.0,0.0,0.0,0.0
24,542918847.0,0.0,0.0,0.0,0.0
25,550737374.0,0.0,0.0,0.0,0.0
26,551659169.0,2.0,126.0,4.0,188.0
27,553806551.0,2.0,883.0,116.0,172102.0
28,563623056.0,0.0,0.0,0.0,0.0
29,569452932.0,2.0,6.0,0.0,753672.0
30,575048868.0,2.0,110.0,26.0,36824.0
31,597671980.0,2.0,247.0,15.0,207.0
