,id,n_groups,n_friends,n_bots,last_seen
0,422134959.0,0.0,5000.0,1304.0,0.0
1,367026271.0,0.0,981.0,246.0,520656.0
2,507735984.0,0.0,0.0,0.0,0.0
3,517647396.0,0.0,796.0,136.0,577573.0
4,440948931.0,0.0,56.0,14.0,189454.0
5,314476978.0,0.0,5000.0,1325.0,1762628.0
6,376313926.0,0.0,61.0,17.0,189454.0
7,203732420.0,0.0,3211.0,271.0,15.0
8,471586863.0,0.0,42.0,4.0,182112.0
9,232436259.0,0.0,0.0,0.0,0.0
10,481132205.0,0.0,0.0,0.0,0.0
11,421579156.0,0.0,0.0,0.0,0.0
12,146816930.0,0.0,33.0,5.0,579685.0
13,395596355.0,0.0,5000.0,1538.0,61020.0
14,27772918.0,0.0,108.0,14.0,512003.0
15,405272510.0,0.0,1125.0,352.0,563810.0
16,317609267.0,0.0,48.0,4.0,182112.0
17,520716179.0,0.0,3585.0,886.0,19544.0
18,442129107.0,0.0,844.0,165.0,16119.0
19,489960084.0,0.0,4617.0,1277.0,107227.0
20,410182992.0,0.0,1672.0,508.0,2261261.0
21,525554094.0,0.0,547.0,173.0,1253776.0
22,495994156.0,0.0,0.0,0.0,0.0
23,504192714.0,0.0,0.0,0.0,389083.0
24,531545499.0,0.0,0.0,0.0,0.0
25,405951731.0,0.0,0.0,0.0,0.0
26,466858847.0,0.0,940.0,210.0,1514087.0
27,420372590.0,0.0,2309.0,762.0,1774549.0
28,90185654.0,0.0,0.0,0.0,0.0
29,323458269.0,0.0,44.0,6.0,182110.0
30,503502722.0,0.0,40.0,4.0,182112.0
31,525908850.0,0.0,5000.0,1237.0,174.0
32,480653246.0,0.0,0.0,0.0,0.0
33,485083993.0,0.0,0.0,0.0,550574.0
34,283734868.0,0.0,1555.0,543.0,2282747.0
35,405779831.0,0.0,0.0,0.0,0.0
36,290246353.0,0.0,72.0,15.0,189454.0
37,432898440.0,0.0,3206.0,690.0,353457.0
38,339117533.0,0.0,0.0,0.0,0.0
39,446061629.0,0.0,0.0,0.0,0.0
40,338227902.0,0.0,0.0,0.0,0.0
41,424856136.0,0.0,1908.0,584.0,23885.0
42,525257470.0,0.0,227.0,6.0,170.0
43,420376677.0,0.0,0.0,0.0,0.0
44,354030622.0,0.0,0.0,0.0,0.0
45,368534071.0,0.0,2833.0,731.0,6292.0
46,417874564.0,0.0,0.0,0.0,0.0
47,375944302.0,0.0,2167.0,139.0,294.0
48,414509849.0,0.0,1295.0,334.0,954678.0
49,414976313.0,0.0,0.0,0.0,0.0
50,517926671.0,0.0,0.0,0.0,0.0
51,505484123.0,0.0,0.0,0.0,0.0
52,489846323.0,0.0,19.0,1.0,581839.0
53,3045006.0,0.0,704.0,199.0,994.0
54,416006905.0,0.0,3219.0,576.0,1399903.0
55,87277018.0,0.0,344.0,82.0,322125.0
56,343594980.0,0.0,4403.0,1404.0,1868670.0
57,450939638.0,0.0,0.0,0.0,0.0
58,17188760.0,0.0,134.0,32.0,582668.0
59,522019938.0,0.0,3872.0,926.0,6041.0
60,333622140.0,0.0,46.0,4.0,182110.0
61,530102332.0,0.0,492.0,122.0,62459.0
62,470571506.0,0.0,0.0,0.0,0.0
63,308404553.0,0.0,5000.0,1547.0,1741474.0
64,107993088.0,0.0,17.0,3.0,579718.0
65,483909090.0,0.0,1421.0,330.0,383408.0
66,266678302.0,0.0,5000.0,1142.0,13138.0
67,503568654.0,0.0,1914.0,395.0,1520.0
68,528899789.0,0.0,952.0,232.0,398.0
69,427179201.0,0.0,266.0,78.0,1556772.0
70,449435684.0,0.0,5000.0,1380.0,2243.0
71,411349262.0,0.0,665.0,56.0,961089.0
72,468913408.0,0.0,5000.0,1258.0,600736.0
73,293715421.0,0.0,59.0,5.0,112783.0
74,334266574.0,0.0,5000.0,1050.0,1646844.0
75,484074728.0,0.0,0.0,0.0,0.0
76,524268180.0,0.0,5000.0,1039.0,172.0
77,526723580.0,0.0,1333.0,346.0,898098.0
78,20692342.0,0.0,299.0,59.0,579712.0
79,471169960.0,0.0,46.0,5.0,182112.0
80,415512800.0,0.0,0.0,0.0,0.0
81,401495350.0,0.0,42.0,9.0,190697.0
82,425196690.0,0.0,0.0,0.0,0.0
83,422047817.0,0.0,852.0,293.0,545883.0
84,436968831.0,0.0,0.0,0.0,0.0
85,474683545.0,0.0,1143.0,342.0,611228.0
86,488765438.0,0.0,177.0,6.0,11786.0
87,364949392.0,0.0,31.0,4.0,356773.0
88,476727268.0,0.0,5.0,2.0,1970280.0
89,275865948.0,0.0,52.0,14.0,582678.0
90,254963827.0,0.0,1366.0,402.0,782.0
91,408752333.0,0.0,1658.0,550.0,1727129.0
92,508570522.0,0.0,4118.0,1036.0,0.0
93,410139744.0,0.0,0.0,0.0,0.0
94,442685660.0,0.0,32.0,5.0,20288.0
95,514547616.0,0.0,53.0,12.0,189454.0
96,421569510.0,0.0,405.0,141.0,2342667.0
97,431865313.0,0.0,467.0,184.0,1950684.0
98,1202186.0,0.0,81.0,21.0,579689.0
99,212600310.0,0.0,22.0,3.0,579709.0
100,370650605.0,0.0,2960.0,307.0,157.0
