,id,n_groups,n_friends,n_bots,last_seen
0,422945389.0,0.0,52.0,0.0,0.0
1,491339.0,0.0,438.0,97.0,280.0
2,815659.0,0.0,772.0,187.0,4201.0
3,1757018.0,0.0,601.0,167.0,13976.0
4,2002488.0,0.0,764.0,135.0,0.0
5,2477285.0,0.0,88.0,2.0,1807.0
6,2518851.0,0.0,4025.0,875.0,2.0
7,4316950.0,0.0,426.0,15.0,85.0
8,4435549.0,0.0,269.0,65.0,593.0
9,4686542.0,0.0,666.0,169.0,1975.0
10,6043269.0,0.0,991.0,175.0,685.0
11,8773061.0,0.0,1082.0,259.0,342.0
12,11565985.0,0.0,1175.0,251.0,771.0
13,12385902.0,0.0,82.0,2.0,175.0
14,13829415.0,0.0,285.0,82.0,791.0
15,13872923.0,0.0,282.0,69.0,792.0
16,14155999.0,0.0,927.0,261.0,267.0
17,15767238.0,0.0,4061.0,350.0,500.0
18,17750251.0,0.0,504.0,231.0,784.0
19,21300848.0,0.0,447.0,119.0,15632.0
20,21753598.0,0.0,754.0,329.0,2380.0
21,22402657.0,0.0,1578.0,291.0,581.0
22,22794695.0,0.0,3553.0,932.0,1437.0
23,24232899.0,0.0,839.0,5.0,948.0
24,24374656.0,0.0,496.0,50.0,93.0
25,46748409.0,0.0,748.0,215.0,89.0
26,61832709.0,0.0,797.0,125.0,733.0
27,62839708.0,0.0,278.0,39.0,190.0
28,62929483.0,0.0,0.0,0.0,163.0
29,63723486.0,0.0,1206.0,511.0,17974.0
30,64630440.0,0.0,264.0,23.0,18226.0
31,65324329.0,0.0,599.0,167.0,740.0
32,71684922.0,0.0,464.0,214.0,125.0
33,75736826.0,0.0,731.0,158.0,19.0
34,91036465.0,0.0,277.0,131.0,84503.0
35,93887802.0,0.0,0.0,0.0,417.0
36,95685657.0,0.0,445.0,163.0,20517.0
37,110056786.0,0.0,1007.0,413.0,262.0
38,128343458.0,0.0,217.0,41.0,5990.0
39,128723555.0,0.0,597.0,114.0,222.0
40,134310720.0,0.0,4398.0,654.0,198040.0
41,137270292.0,0.0,593.0,230.0,247.0
42,147387222.0,0.0,4900.0,423.0,268744.0
43,152759343.0,0.0,1307.0,589.0,473.0
44,153977753.0,0.0,570.0,159.0,479.0
45,157443356.0,0.0,931.0,480.0,187.0
46,158896389.0,0.0,121.0,42.0,1034.0
47,162941885.0,0.0,546.0,146.0,9.0
48,175525413.0,0.0,1133.0,518.0,90.0
49,176899006.0,0.0,1052.0,525.0,32.0
50,183125659.0,0.0,382.0,152.0,330.0
51,189342859.0,0.0,93.0,39.0,9600.0
52,199067144.0,0.0,1850.0,206.0,1106.0
