,id,n_groups,n_friends,n_bots,last_seen
0,544842367.0,2.0,5000.0,522.0,0.0
1,284352677.0,2.0,5000.0,310.0,579.0
2,136120018.0,2.0,943.0,266.0,160476.0
3,146582604.0,2.0,3534.0,2550.0,616.0
4,371513225.0,0.0,0.0,0.0,0.0
5,314468600.0,0.0,0.0,0.0,0.0
6,443861732.0,2.0,396.0,26.0,178.0
7,257343468.0,2.0,2693.0,580.0,8.0
8,478524546.0,0.0,0.0,0.0,732651.0
9,54636368.0,0.0,0.0,0.0,0.0
10,200318384.0,2.0,4984.0,913.0,3534.0
11,527946566.0,0.0,0.0,0.0,0.0
12,458878810.0,2.0,325.0,26.0,0.0
13,141632531.0,2.0,3939.0,1857.0,438.0
14,205521680.0,0.0,0.0,0.0,921417.0
15,519177099.0,0.0,0.0,0.0,197.0
16,137067935.0,2.0,321.0,33.0,556.0
17,215920862.0,2.0,3647.0,926.0,196.0
18,276672465.0,2.0,4713.0,1603.0,230596.0
19,388859635.0,2.0,300.0,57.0,20376.0
20,544578623.0,2.0,50.0,30.0,190662.0
21,479391035.0,0.0,0.0,0.0,601736.0
22,370841925.0,2.0,4763.0,1508.0,242672.0
23,476570055.0,2.0,5000.0,2044.0,1078.0
24,326220184.0,2.0,109.0,8.0,1008586.0
25,502955270.0,2.0,111.0,23.0,201.0
26,247246862.0,2.0,152.0,78.0,110395.0
27,298167471.0,2.0,1080.0,42.0,92.0
28,500475528.0,2.0,938.0,263.0,133830.0
29,435393535.0,0.0,0.0,0.0,9397.0
30,308642109.0,2.0,1145.0,514.0,399778.0
31,535252369.0,2.0,5000.0,2373.0,549.0
32,518837345.0,2.0,9.0,2.0,2466.0
33,17302654.0,2.0,5000.0,64.0,339.0
34,517995191.0,0.0,0.0,0.0,12999.0
35,500520884.0,2.0,2591.0,1475.0,10287.0
36,503027660.0,0.0,0.0,0.0,0.0
37,401347644.0,2.0,4700.0,2309.0,27.0
38,190199225.0,0.0,0.0,0.0,490.0
39,188595644.0,2.0,4323.0,853.0,1840.0
40,447819405.0,0.0,0.0,0.0,430.0
41,155873640.0,2.0,2251.0,6.0,616.0
42,541832287.0,2.0,303.0,96.0,0.0
43,544900778.0,2.0,4188.0,615.0,226321.0
44,199888571.0,2.0,5000.0,1824.0,2100.0
45,440803254.0,2.0,3161.0,1742.0,220.0
46,394574714.0,2.0,23.0,3.0,31975.0
47,229190702.0,2.0,5000.0,1169.0,2025.0
48,77467700.0,2.0,3111.0,421.0,454.0
49,545709313.0,2.0,5000.0,1064.0,7702.0
50,406151600.0,2.0,2102.0,394.0,382.0
51,155127674.0,2.0,5000.0,1458.0,379.0
52,518255072.0,2.0,1617.0,882.0,636034.0
53,276219672.0,2.0,184.0,22.0,742.0
54,506186651.0,2.0,5000.0,2650.0,145.0
55,167749174.0,2.0,76.0,2.0,0.0
56,23532048.0,2.0,5000.0,1741.0,306.0
57,223641351.0,2.0,184.0,59.0,6318.0
58,509368474.0,2.0,405.0,87.0,192.0
59,411034796.0,2.0,1316.0,613.0,405596.0
60,468386769.0,2.0,562.0,284.0,39455.0
61,453154474.0,2.0,2595.0,764.0,26594.0
62,278414032.0,0.0,0.0,0.0,18.0
63,213370272.0,2.0,5000.0,926.0,8959.0
64,306803218.0,0.0,0.0,0.0,158558.0
65,260846710.0,2.0,1533.0,536.0,3311.0
66,406551146.0,2.0,2044.0,475.0,969.0
67,325980346.0,2.0,1327.0,295.0,870311.0
68,492914175.0,2.0,357.0,121.0,500.0
69,320183149.0,2.0,4338.0,1048.0,1443.0
70,527181652.0,0.0,0.0,0.0,0.0
71,399969156.0,2.0,180.0,71.0,1166.0
72,304451780.0,2.0,4624.0,1360.0,582.0
73,478301903.0,2.0,169.0,57.0,202368.0
74,544844609.0,0.0,0.0,0.0,80723.0
75,347886352.0,2.0,3577.0,868.0,34.0
76,445484406.0,2.0,5000.0,1390.0,348.0
77,510863317.0,2.0,1399.0,525.0,302218.0
78,250683694.0,2.0,5000.0,2128.0,279739.0
79,519198919.0,0.0,0.0,0.0,150.0
80,232889067.0,2.0,5000.0,1194.0,302.0
81,487501520.0,2.0,21.0,1.0,5052.0
82,429602161.0,2.0,3998.0,1443.0,2.0
83,518735421.0,0.0,0.0,0.0,5272.0
84,129690788.0,2.0,5000.0,1674.0,4.0
85,213620513.0,0.0,0.0,0.0,182.0
86,386011096.0,2.0,5000.0,868.0,559.0
87,278249102.0,2.0,5000.0,393.0,133.0
88,436758137.0,0.0,0.0,0.0,426.0
89,338275990.0,2.0,1224.0,240.0,5100.0
90,359888190.0,2.0,1880.0,664.0,269897.0
91,420000320.0,2.0,1403.0,266.0,213.0
92,327440749.0,2.0,3230.0,1226.0,421.0
93,489679874.0,2.0,5000.0,851.0,664205.0
94,454562379.0,2.0,5000.0,1499.0,536559.0
95,286061061.0,2.0,3960.0,1372.0,305674.0
96,502223391.0,2.0,243.0,92.0,527921.0
97,433445750.0,2.0,5000.0,456.0,102984.0
98,500001370.0,2.0,5000.0,288.0,664167.0
99,213818273.0,2.0,4134.0,1045.0,118068.0
100,221268260.0,2.0,2085.0,1313.0,55.0
