,id,n_groups,n_friends,n_bots,last_seen
0,365277.0,2.0,47.0,1.0,0.0
1,170284.0,2.0,271.0,34.0,336.0
2,239371.0,2.0,117.0,2.0,27.0
3,589809.0,2.0,1185.0,158.0,518.0
4,593927.0,2.0,498.0,4.0,768.0
5,670045.0,0.0,0.0,0.0,59.0
6,692139.0,0.0,0.0,0.0,0.0
7,871632.0,2.0,395.0,35.0,37.0
8,1209437.0,2.0,1226.0,71.0,9.0
9,1223770.0,2.0,1773.0,90.0,195.0
10,1239199.0,0.0,0.0,0.0,957.0
11,2090018.0,2.0,791.0,11.0,497.0
12,2155109.0,2.0,288.0,21.0,5320.0
13,2162296.0,2.0,1209.0,106.0,16.0
14,2316397.0,2.0,881.0,93.0,1277.0
15,2566425.0,0.0,0.0,0.0,14393.0
16,2577424.0,2.0,283.0,10.0,478.0
17,2663269.0,2.0,2509.0,51.0,549.0
18,2679020.0,0.0,0.0,0.0,1112.0
19,2693961.0,2.0,2060.0,172.0,661.0
20,2820632.0,2.0,262.0,3.0,474.0
21,2965704.0,2.0,225.0,3.0,508.0
22,3739000.0,2.0,1193.0,105.0,136.0
23,4183898.0,2.0,1432.0,36.0,46.0
24,4602948.0,2.0,740.0,43.0,592.0
25,5259463.0,2.0,171.0,1.0,205.0
26,6555757.0,2.0,743.0,4.0,0.0
27,6802641.0,2.0,226.0,2.0,618.0
28,12065764.0,2.0,1897.0,63.0,119.0
29,12657575.0,0.0,0.0,0.0,695.0
30,15232025.0,0.0,0.0,0.0,567.0
31,15310177.0,2.0,3817.0,462.0,464.0
32,16134363.0,2.0,216.0,14.0,627733.0
33,16892016.0,2.0,934.0,266.0,118.0
34,17321631.0,2.0,413.0,1.0,1078.0
35,29186853.0,2.0,5000.0,151.0,0.0
36,32441004.0,2.0,851.0,63.0,557.0
37,41403821.0,2.0,2117.0,179.0,8.0
38,51099792.0,2.0,1044.0,199.0,365.0
39,51730136.0,2.0,5000.0,137.0,30.0
40,58736253.0,2.0,1191.0,46.0,751.0
41,59189307.0,2.0,238.0,5.0,303.0
42,63134605.0,2.0,284.0,24.0,1428.0
43,161783898.0,2.0,104.0,6.0,1006.0
44,183612045.0,0.0,0.0,0.0,483.0
45,308610877.0,0.0,0.0,0.0,96.0
46,596863219.0,2.0,84.0,0.0,42.0
47,599943005.0,2.0,2231.0,40.0,709.0
