,id,n_groups,n_friends,n_bots,last_seen
0,174339.0,0.0,1746.0,82.0,0.0
1,649005.0,0.0,844.0,89.0,3692.0
2,1688213.0,0.0,281.0,3.0,346.0
3,2711763.0,0.0,739.0,69.0,3602881.0
4,3272089.0,0.0,0.0,0.0,86.0
5,153354395.0,0.0,85.0,4.0,67484.0
6,266934227.0,0.0,142.0,2.0,2268.0
7,9451407.0,0.0,5000.0,269.0,41197.0
8,11060269.0,0.0,1538.0,150.0,728.0
9,1225530.0,0.0,0.0,0.0,22.0
10,4337950.0,0.0,635.0,46.0,10.0
11,29219.0,0.0,626.0,23.0,655.0
12,14863977.0,0.0,857.0,190.0,418724.0
13,9652888.0,0.0,1573.0,130.0,12.0
14,258474632.0,0.0,127.0,0.0,704.0
15,24600315.0,0.0,5000.0,119.0,14.0
16,224425053.0,0.0,11.0,3.0,2544469.0
17,53841827.0,0.0,0.0,0.0,727.0
18,3178791.0,0.0,675.0,20.0,717.0
19,109005355.0,0.0,0.0,0.0,1168.0
20,214628621.0,0.0,312.0,3.0,578.0
21,480563226.0,0.0,1054.0,7.0,685.0
22,574366.0,0.0,494.0,3.0,419.0
23,417689761.0,0.0,169.0,1.0,262.0
24,11260569.0,0.0,561.0,63.0,70.0
25,47116042.0,0.0,0.0,0.0,197.0
26,471112.0,0.0,566.0,3.0,933.0
27,478931010.0,0.0,688.0,2.0,17.0
28,30786.0,0.0,3101.0,70.0,16.0
29,300848739.0,0.0,2877.0,58.0,59.0
30,90945423.0,0.0,2507.0,192.0,427.0
31,5179938.0,0.0,586.0,9.0,4285.0
32,575272464.0,0.0,81.0,1.0,3896.0
33,503034702.0,0.0,1617.0,39.0,17322.0
34,2138261.0,0.0,4380.0,510.0,23.0
35,1078133.0,0.0,372.0,44.0,12634.0
36,136653032.0,0.0,0.0,0.0,1196.0
37,18028428.0,0.0,0.0,0.0,0.0
38,403511046.0,0.0,287.0,7.0,0.0
39,780397.0,0.0,932.0,36.0,1430.0
40,162490509.0,0.0,2106.0,16.0,19.0
41,3150918.0,0.0,772.0,31.0,583.0
42,199899410.0,0.0,0.0,0.0,541.0
43,3137627.0,0.0,320.0,2.0,563.0
44,269478780.0,0.0,87.0,2.0,596.0
45,1031388.0,0.0,1361.0,23.0,716.0
46,41298.0,0.0,0.0,0.0,9312.0
47,1008134.0,0.0,5000.0,165.0,2030.0
48,5134565.0,0.0,1957.0,96.0,51.0
49,20897646.0,0.0,399.0,13.0,296.0
50,15153108.0,0.0,4938.0,294.0,1.0
51,514644234.0,0.0,266.0,14.0,590.0
52,60432875.0,0.0,1460.0,22.0,2302.0
53,9036736.0,0.0,788.0,46.0,23.0
54,179671832.0,0.0,2256.0,93.0,637.0
55,4422110.0,0.0,0.0,0.0,1098.0
56,184626809.0,0.0,2407.0,65.0,208723.0
57,2733498.0,0.0,538.0,9.0,510.0
58,19890784.0,0.0,1247.0,38.0,317.0
59,1308008.0,0.0,3004.0,536.0,15.0
60,102975.0,0.0,0.0,0.0,0.0
61,10487449.0,0.0,4068.0,322.0,740.0
62,392292.0,0.0,5000.0,72.0,438.0
63,80375107.0,0.0,979.0,9.0,80.0
64,1630437.0,0.0,302.0,6.0,623.0
65,218334.0,0.0,547.0,79.0,7.0
66,286825921.0,0.0,2738.0,162.0,399.0
67,275645.0,0.0,321.0,32.0,2858.0
68,198814.0,0.0,337.0,10.0,5.0
69,305581950.0,0.0,1079.0,10.0,23.0
70,10130221.0,0.0,1158.0,76.0,919.0
71,192736913.0,0.0,66.0,1.0,942.0
72,2304817.0,0.0,0.0,0.0,29.0
73,1355281.0,0.0,4497.0,340.0,6.0
74,4457578.0,0.0,737.0,23.0,55.0
75,486055401.0,0.0,95.0,5.0,1030246.0
76,205800919.0,0.0,2836.0,110.0,63086.0
77,76414010.0,0.0,2671.0,194.0,589.0
78,533217547.0,0.0,4411.0,148.0,566.0
79,27172346.0,0.0,0.0,0.0,554.0
80,535440845.0,0.0,0.0,0.0,9251.0
81,475071307.0,0.0,307.0,1.0,920.0
82,498130426.0,0.0,4040.0,133.0,16761.0
83,3929150.0,0.0,615.0,59.0,683730.0
84,3730360.0,0.0,254.0,7.0,1436.0
85,6766553.0,0.0,448.0,70.0,1752459.0
86,145910.0,0.0,502.0,19.0,624.0
87,40540112.0,0.0,708.0,69.0,1471.0
88,10943926.0,0.0,0.0,0.0,259.0
89,584401559.0,0.0,391.0,1.0,313.0
90,12663174.0,0.0,434.0,11.0,74.0
91,169797552.0,0.0,519.0,175.0,19150.0
92,4358909.0,0.0,445.0,24.0,29.0
93,7227980.0,0.0,0.0,0.0,1347.0
94,98439.0,0.0,0.0,0.0,47023.0
95,584029259.0,0.0,83.0,1.0,742239.0
96,54216404.0,0.0,0.0,0.0,2018.0
97,16458260.0,0.0,0.0,0.0,31.0
98,548818679.0,0.0,1498.0,38.0,833.0
99,41960696.0,0.0,0.0,0.0,8590.0
100,17957389.0,0.0,3742.0,451.0,532.0
